zone_id,mn_code,municipality
758013,580,Linköping
758014,580,Linköping
758015,580,Linköping
758016,580,Linköping
758017,580,Linköping
758018,580,Linköping
758019,580,Linköping
758101,581,Norrköping
758103,581,Norrköping
758105,581,Norrköping
758112,581,Norrköping
758113,581,Norrköping
758115,581,Norrköping
758117,581,Norrköping
758118,581,Norrköping
758102,581,Norrköping
758104,581,Norrköping
758106,581,Norrköping
758107,581,Norrköping
758108,581,Norrköping
758109,581,Norrköping
758110,581,Norrköping
758111,581,Norrköping
758114,581,Norrköping
758116,581,Norrköping
758201,582,Söderköping
758202,582,Söderköping
758301,583,Motala
758302,583,Motala
758303,583,Motala
758304,583,Motala
758305,583,Motala
758306,583,Motala
758401,584,Vadstena
758601,586,Mjölby
758602,586,Mjölby
758603,586,Mjölby
758604,586,Mjölby
758605,586,Mjölby
758606,586,Mjölby
758607,586,Mjölby
881403,1814,Lekeberg
881404,1814,Lekeberg
881401,1814,Lekeberg
881402,1814,Lekeberg
881405,1814,Lekeberg
881406,1814,Lekeberg
881407,1814,Lekeberg
881408,1814,Lekeberg
881409,1814,Lekeberg
881410,1814,Lekeberg
886004,1860,Laxå
886005,1860,Laxå
886006,1860,Laxå
886001,1860,Laxå
886002,1860,Laxå
886003,1860,Laxå
886007,1860,Laxå
886117,1861,Hallsberg
886118,1861,Hallsberg
886125,1861,Hallsberg
886101,1861,Hallsberg
886102,1861,Hallsberg
886103,1861,Hallsberg
886104,1861,Hallsberg
886105,1861,Hallsberg
886106,1861,Hallsberg
886107,1861,Hallsberg
886108,1861,Hallsberg
886109,1861,Hallsberg
886110,1861,Hallsberg
886111,1861,Hallsberg
886112,1861,Hallsberg
886113,1861,Hallsberg
886114,1861,Hallsberg
886115,1861,Hallsberg
886116,1861,Hallsberg
886119,1861,Hallsberg
886120,1861,Hallsberg
886121,1861,Hallsberg
886122,1861,Hallsberg
886123,1861,Hallsberg
886124,1861,Hallsberg
888108,1861,Hallsberg
888116,1861,Hallsberg
886201,1862,Degerfors
886202,1862,Degerfors
886203,1862,Degerfors
886204,1862,Degerfors
886205,1862,Degerfors
886206,1862,Degerfors
886207,1862,Degerfors
886208,1862,Degerfors
886209,1862,Degerfors
886210,1862,Degerfors
886211,1862,Degerfors
886212,1862,Degerfors
886301,1863,Hällefors
886302,1863,Hällefors
886303,1863,Hällefors
886304,1863,Hällefors
886305,1863,Hällefors
886306,1863,Hällefors
886307,1863,Hällefors
886308,1863,Hällefors
886309,1863,Hällefors
886401,1864,Ljusnarsberg
886402,1864,Ljusnarsberg
886403,1864,Ljusnarsberg
886404,1864,Ljusnarsberg
886405,1864,Ljusnarsberg
887067,1880,Örebro
887001,1880,Örebro
887003,1880,Örebro
887004,1880,Örebro
887005,1880,Örebro
887006,1880,Örebro
887007,1880,Örebro
887008,1880,Örebro
887009,1880,Örebro
887010,1880,Örebro
887011,1880,Örebro
887012,1880,Örebro
887013,1880,Örebro
887014,1880,Örebro
887015,1880,Örebro
887016,1880,Örebro
887017,1880,Örebro
887018,1880,Örebro
887019,1880,Örebro
887020,1880,Örebro
887021,1880,Örebro
887022,1880,Örebro
887023,1880,Örebro
887024,1880,Örebro
887025,1880,Örebro
887026,1880,Örebro
887027,1880,Örebro
887028,1880,Örebro
887029,1880,Örebro
887030,1880,Örebro
887031,1880,Örebro
887032,1880,Örebro
887033,1880,Örebro
887034,1880,Örebro
887035,1880,Örebro
887036,1880,Örebro
887037,1880,Örebro
887038,1880,Örebro
887039,1880,Örebro
887040,1880,Örebro
887041,1880,Örebro
887042,1880,Örebro
887043,1880,Örebro
887044,1880,Örebro
887045,1880,Örebro
887046,1880,Örebro
887047,1880,Örebro
887048,1880,Örebro
887049,1880,Örebro
887050,1880,Örebro
887051,1880,Örebro
887052,1880,Örebro
887053,1880,Örebro
887054,1880,Örebro
887055,1880,Örebro
887056,1880,Örebro
887057,1880,Örebro
887058,1880,Örebro
887059,1880,Örebro
887060,1880,Örebro
887061,1880,Örebro
887062,1880,Örebro
887063,1880,Örebro
887064,1880,Örebro
888001,1880,Örebro
888002,1880,Örebro
888003,1880,Örebro
888004,1880,Örebro
888005,1880,Örebro
888006,1880,Örebro
888007,1880,Örebro
888008,1880,Örebro
888009,1880,Örebro
888010,1880,Örebro
888011,1880,Örebro
888012,1880,Örebro
888013,1880,Örebro
888014,1880,Örebro
888015,1880,Örebro
888016,1880,Örebro
888017,1880,Örebro
888018,1880,Örebro
888019,1880,Örebro
888020,1880,Örebro
888021,1880,Örebro
888022,1880,Örebro
888023,1880,Örebro
888024,1880,Örebro
888025,1880,Örebro
888026,1880,Örebro
888027,1880,Örebro
888028,1880,Örebro
888029,1880,Örebro
888030,1880,Örebro
888031,1880,Örebro
888032,1880,Örebro
888033,1880,Örebro
888034,1880,Örebro
888035,1880,Örebro
888036,1880,Örebro
888037,1880,Örebro
888038,1880,Örebro
888039,1880,Örebro
888040,1880,Örebro
888041,1880,Örebro
888042,1880,Örebro
888043,1880,Örebro
888044,1880,Örebro
888045,1880,Örebro
888046,1880,Örebro
888047,1880,Örebro
888048,1880,Örebro
888049,1880,Örebro
888050,1880,Örebro
888051,1880,Örebro
888052,1880,Örebro
888053,1880,Örebro
888054,1880,Örebro
888055,1880,Örebro
888056,1880,Örebro
888057,1880,Örebro
888058,1880,Örebro
888059,1880,Örebro
888060,1880,Örebro
888061,1880,Örebro
888062,1880,Örebro
888063,1880,Örebro
888064,1880,Örebro
888065,1880,Örebro
888066,1880,Örebro
888067,1880,Örebro
888068,1880,Örebro
888069,1880,Örebro
888070,1880,Örebro
888071,1880,Örebro
888072,1880,Örebro
888073,1880,Örebro
888074,1880,Örebro
888075,1880,Örebro
888076,1880,Örebro
888077,1880,Örebro
888078,1880,Örebro
888079,1880,Örebro
888080,1880,Örebro
888081,1880,Örebro
888082,1880,Örebro
888083,1880,Örebro
888084,1880,Örebro
888085,1880,Örebro
888086,1880,Örebro
888087,1880,Örebro
888088,1880,Örebro
888089,1880,Örebro
888090,1880,Örebro
888091,1880,Örebro
888092,1880,Örebro
888093,1880,Örebro
888094,1880,Örebro
888095,1880,Örebro
888096,1880,Örebro
888097,1880,Örebro
888098,1880,Örebro
888099,1880,Örebro
887002,1881,Kumla
888101,1881,Kumla
888102,1881,Kumla
888103,1881,Kumla
888104,1881,Kumla
888105,1881,Kumla
888106,1881,Kumla
888107,1881,Kumla
888109,1881,Kumla
888110,1881,Kumla
888111,1881,Kumla
888112,1881,Kumla
888113,1881,Kumla
888114,1881,Kumla
888115,1881,Kumla
888117,1881,Kumla
888201,1882,Askersund
888202,1882,Askersund
888203,1882,Askersund
888205,1882,Askersund
888206,1882,Askersund
888210,1882,Askersund
888211,1882,Askersund
888204,1882,Askersund
888207,1882,Askersund
888301,1883,Karlskoga
888302,1883,Karlskoga
888303,1883,Karlskoga
888304,1883,Karlskoga
888305,1883,Karlskoga
888306,1883,Karlskoga
888307,1883,Karlskoga
888308,1883,Karlskoga
888309,1883,Karlskoga
888310,1883,Karlskoga
888311,1883,Karlskoga
888312,1883,Karlskoga
888313,1883,Karlskoga
888314,1883,Karlskoga
888315,1883,Karlskoga
888316,1883,Karlskoga
888317,1883,Karlskoga
888318,1883,Karlskoga
888319,1883,Karlskoga
888320,1883,Karlskoga
888321,1883,Karlskoga
888322,1883,Karlskoga
888323,1883,Karlskoga
888324,1883,Karlskoga
888325,1883,Karlskoga
888326,1883,Karlskoga
888327,1883,Karlskoga
888401,1884,Nora
888402,1884,Nora
888403,1884,Nora
888404,1884,Nora
888405,1884,Nora
888406,1884,Nora
888407,1884,Nora
888408,1884,Nora
888409,1884,Nora
888501,1885,Lindesberg
888502,1885,Lindesberg
888503,1885,Lindesberg
888505,1885,Lindesberg
888508,1885,Lindesberg
888509,1885,Lindesberg
888510,1885,Lindesberg
888511,1885,Lindesberg
888512,1885,Lindesberg
